Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,151.45,-109.5,0,top
C2,22p,C_0805_2012Metric,158.01,-125.08,0,top
C3,22p,C_0805_2012Metric,162.51,-125.08,0,top
C4,100n,C_0805_2012Metric,157.55,-132.08,0,top
C5,100n,C_0805_2012Metric,153.35,-121.92,0,top
C6,100n,C_0805_2012Metric,176.85,-116.84,0,top
C7,10u,C_0805_2012Metric,164.15,-96.52,0,top
C8,100n,C_0805_2012Metric,158.43,-93.98,0,top
C9,10u,C_0805_2012Metric,163.51,-81.28,0,top
C10,0.1u,C_0805_2012Metric,158.43,-83.82,0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4085,171.37,-75.48,180,top
R1,5.1k,R_0805_2012Metric,175.26,-81.28,0,top
R2,5.1k,R_0805_2012Metric,155.8525,-78.74,0,top
R3,22,R_0805_2012Metric,169.2675,-88.9,180,top
R4,22,R_0805_2012Metric,169.2675,-86.36,180,top
R5,10k,R_0805_2012Metric,161.5875,-132.08,0,top
R6,10k,R_0805_2012Metric,171.0925,-99.06,0,top
U1,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,161.8375,-110.1,0,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,161.12,-120.23,180,top
