"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C2,C3","2","22p","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4,C5,C6,C8","4","100n","","","","Capacitor_SMD:C_0805_2012Metric",""
"C7,C9","2","10u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C10","1","0.1u","","","","Capacitor_SMD:C_0805_2012Metric",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4085","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Conn_02x03_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"R1,R2","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R3,R4","2","22","","","","Resistor_SMD:R_0805_2012Metric",""
"R5,R6","2","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"RV1,RV2,RV3,RV4","4","R_Potentiometer","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14","14","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm",""
"U1","1","ATmega32U4-A","","","","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf"
"Y1","1","16MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
